/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 14900: tokens=706442376/1000000000 (70.6%), loss=0.0961, FVU=0.0298, dead_frac=0.008, throughput=34057 tok/s, ETA=2.4h
step 15000: tokens=711197016/1000000000 (71.1%), loss=0.1043, FVU=0.0323, dead_frac=0.008, throughput=34059 tok/s, ETA=2.4h
step 15100: tokens=715910880/1000000000 (71.6%), loss=0.1098, FVU=0.0339, dead_frac=0.008, throughput=34062 tok/s, ETA=2.3h
step 15200: tokens=720612504/1000000000 (72.1%), loss=0.1060, FVU=0.0344, dead_frac=0.008, throughput=34064 tok/s, ETA=2.3h
step 15300: tokens=725385768/1000000000 (72.5%), loss=0.1061, FVU=0.0334, dead_frac=0.008, throughput=34067 tok/s, ETA=2.2h
step 15400: tokens=730108008/1000000000 (73.0%), loss=0.1084, FVU=0.0341, dead_frac=0.009, throughput=34069 tok/s, ETA=2.2h
step 15500: tokens=734833992/1000000000 (73.5%), loss=0.1026, FVU=0.0322, dead_frac=0.009, throughput=34071 tok/s, ETA=2.2h
step 15600: tokens=739620264/1000000000 (74.0%), loss=0.1065, FVU=0.0344, dead_frac=0.009, throughput=34074 tok/s, ETA=2.1h
step 15700: tokens=744367056/1000000000 (74.4%), loss=0.1056, FVU=0.0342, dead_frac=0.009, throughput=34077 tok/s, ETA=2.1h
step 15800: tokens=749176752/1000000000 (74.9%), loss=0.1049, FVU=0.0343, dead_frac=0.009, throughput=34081 tok/s, ETA=2.0h
step 15900: tokens=753992112/1000000000 (75.4%), loss=0.1012, FVU=0.0315, dead_frac=0.009, throughput=34084 tok/s, ETA=2.0h
step 16000: tokens=758744304/1000000000 (75.9%), loss=0.0976, FVU=0.0307, dead_frac=0.009, throughput=34087 tok/s, ETA=2.0h
step 16100: tokens=763472760/1000000000 (76.3%), loss=0.1069, FVU=0.0328, dead_frac=0.009, throughput=34088 tok/s, ETA=1.9h
step 16200: tokens=768201408/1000000000 (76.8%), loss=0.0938, FVU=0.0289, dead_frac=0.009, throughput=34090 tok/s, ETA=1.9h
step 16300: tokens=772873752/1000000000 (77.3%), loss=0.0951, FVU=0.0304, dead_frac=0.009, throughput=34093 tok/s, ETA=1.9h
step 16400: tokens=777477936/1000000000 (77.7%), loss=0.0965, FVU=0.0304, dead_frac=0.009, throughput=34095 tok/s, ETA=1.8h
step 16500: tokens=782153856/1000000000 (78.2%), loss=0.0980, FVU=0.0306, dead_frac=0.009, throughput=34098 tok/s, ETA=1.8h
step 16600: tokens=786780528/1000000000 (78.7%), loss=0.1016, FVU=0.0315, dead_frac=0.009, throughput=34100 tok/s, ETA=1.7h
step 16700: tokens=791490432/1000000000 (79.1%), loss=0.1024, FVU=0.0317, dead_frac=0.009, throughput=34103 tok/s, ETA=1.7h
step 16800: tokens=796062000/1000000000 (79.6%), loss=0.0901, FVU=0.0261, dead_frac=0.009, throughput=34105 tok/s, ETA=1.7h
step 16900: tokens=800615640/1000000000 (80.1%), loss=0.0988, FVU=0.0300, dead_frac=0.009, throughput=34107 tok/s, ETA=1.6h
